Timestamp,How do you feel today?,Emotion
2025-02-13 14:32:59.000, I feel like my brain is always on high alert.,Frustrated
2025-02-13 14:32:59.000,"I’m trying my best, but it’s not enough.",Happy
2025-02-28 16:38:51.621,The worst part of sadness is not knowing when it will end. ,Sad
2025-02-28 17:41:26.996,  I have so much love to give. ,Happy
2025-02-28 16:36:34.982,"No matter how much I sleep, I still feel tired.",Frustrated
2025-02-28 16:30:30.236,  I hate how stress and frustration go hand in hand.,Anxious
2025-02-28 16:41:47.745, I feel like a puzzle with missing pieces.  ,Frustrated
2025-02-13 14:33:01.000, I hate how my anxiety makes me doubt everything.,Sad
2025-02-28 16:34:47.592,"I wish I could just cry, but the tears won’t come.",Sad
2025-02-28 17:06:06.440," I just want a solution, not more problems.",Sad
2025-02-13 14:32:59.000,I feel like I’m constantly bracing for something bad.,Sad
2025-02-12 14:32:49.000, I keep having to remind myself that I’m okay.,Happy
2025-02-12 14:32:30.000,I don’t understand why things have to be this difficult.,Sad
2025-02-28 16:31:06.566, I wish people would stop making excuses.,Frustrated
2025-02-28 16:50:33.744,  I had a moment where I realized how beautiful life is.   ,Happy
2025-02-28 16:46:56.903,I hate how much I overthink everything.  ,Sad
2025-02-28 17:37:33.842,I wish I could just let go of this frustration.,Frustrated
2025-02-28 16:52:27.485, Today was simple but perfect.   ,Happy
2025-02-13 14:33:01.000,  I just need a break from my own thoughts.,Happy
2025-02-12 14:32:58.000," My heart skipped a beat, and now I’m panicking.",Anxious
2025-02-28 16:36:45.937,I wish I could stop overthinking everything.,Anxious
2025-02-12 14:32:58.000,I hate the way my body reacts to stress.,Anxious
2025-02-13 14:33:00.000,I’m so tired of waiting on people.,Frustrated
2025-02-28 16:51:23.602, I love the way my heart flutters with excitement.  ,Happy
2025-02-28 16:30:21.361, I feel like I’m screaming into the void.,Frustrated
2025-02-12 14:32:30.000,My mind feels like a tangled mess of worries.,Frustrated
2025-02-28 16:45:39.373," Some days, even breathing feels hard. ",Sad
2025-02-13 14:32:59.000, I keep replaying the same scenario in my head.,Frustrated
2025-02-12 14:32:30.000, I’m overthinking every little thing I said today.,Anxious
2025-02-12 14:32:49.000,  I don’t know how to let go of this fear.,Anxious
2025-02-12 14:32:49.000,I hate when anxiety makes me feel physically sick,Sad
2025-02-13 14:33:01.000, I’m so fed up with feeling stuck.,Frustrated
2025-02-28 16:30:30.236,  I hate how stress and frustration go hand in hand.,Anxious
2025-02-28 17:03:10.014, I love how sunshine feels on my skin.   ,Happy
2025-02-12 14:32:58.000, I keep clenching my jaw without realizing it.,Frustrated
2025-02-28 17:57:17.477,  I love the way my heart feels full when I’m with people I love.   ,Happy
2025-02-28 17:50:51.347, I made a new friend today.  ,Frustrated
2025-02-28 16:46:05.099,  I feel like I’m falling behind in life. ,Sad
2025-02-12 14:32:30.000, I’m overthinking every little thing I said today.,Anxious
2025-02-28 16:45:45.356, I don’t know how to feel whole again.  ,Frustrated
2025-02-13 14:33:00.000,I feel like I’m about to explode.,Frustrated
2025-02-12 14:32:49.000,  I don’t know how to let go of this fear.,Anxious
2025-02-28 17:52:43.753,"  I got good news, and I can’t stop smiling.  ",Happy
2025-02-28 17:27:09.687, I feel like I’m glowing with happiness.  ,Happy
2025-02-28 16:35:04.880,I keep waiting for things to get better.,Happy
2025-02-12 14:32:58.000, I hate when people waste my time.,Sad
2025-02-13 14:33:00.000,  I don’t know why I feel so tense.,Anxious
2025-02-28 17:36:41.377, I love the feeling of a fresh start.  ,Happy
2025-02-12 14:32:49.000,  I don’t know how to let go of this fear.,Anxious
2025-02-12 14:32:58.000, I’m so tired of being afraid of everything.,Frustrated
2025-02-28 17:28:43.826,  I love the way my heart races when I’m excited. ,Happy
2025-02-28 16:36:45.937,I wish I could stop overthinking everything.,Anxious
2025-02-28 16:41:33.563, I keep thinking about all the things I should have said. ,Frustrated
2025-02-28 16:41:02.573, I wonder if I’ll ever feel truly happy again.   ,Happy
2025-02-28 17:56:20.010, I have so much love to give.  ,Happy
2025-02-28 16:36:45.937,I wish I could stop overthinking everything.,Anxious
2025-02-12 14:32:30.000, I’m so worried about things I can’t control.,Anxious
2025-02-28 16:38:06.968,I just want someone to hold me and say it’s okay.,Happy
2025-02-28 17:17:40.829," I let go of something that was holding me back, and I feel free. ",Frustrated
2025-02-28 16:55:35.294, I had a moment where I just felt pure gratitude. ,Happy
2025-02-13 14:33:01.000,I’m frustrated beyond words.,Frustrated
2025-02-28 16:36:45.937,I wish I could stop overthinking everything.,Anxious
2025-02-28 16:56:46.971, I feel like I’m exactly where I’m meant to be.   ,Happy
2025-02-28 16:55:58.691," I feel seen, loved, and appreciated.  ",Happy
2025-02-28 16:45:52.047,  I keep giving pieces of myself to people who don’t care.  ,Frustrated
2025-02-28 17:19:10.492, I love the way morning light filters through my window.   ,Happy
2025-02-12 14:32:58.000,  I hate when people don’t take me seriously.,Sad
2025-02-28 16:46:05.099,  I feel like I’m falling behind in life. ,Sad
2025-02-28 16:45:39.373," Some days, even breathing feels hard. ",Sad
2025-02-28 16:29:43.494,I feel like a ghost in my own life.,Happy
2025-02-28 16:45:21.598,I miss having something to look forward to.   ,Frustrated
2025-02-28 16:30:03.466,  I wish people would just do their part.,Frustrated
2025-02-28 16:56:27.147, Life feels like a beautiful adventure today.   ,Happy
2025-02-12 14:32:58.000, I hate how things never go as planned.,Sad
2025-02-28 16:31:21.495,My heart feels too heavy for my chest.,Frustrated
2025-02-28 16:54:58.062, I feel at peace with myself. ,Frustrated
2025-02-13 14:32:59.000, I just want something to go right for once.,Happy
2025-02-28 17:57:04.696, I feel completely content in this moment.   ,Happy
2025-02-28 16:42:55.471,"  I keep listening to sad songs, making it worse.   ",Sad
2025-02-28 17:39:46.873,"I sit in the canteen, surrounded by people, but I feel alone. Everyone is laughing, talking, living—while I just watch. I look at old photos and wonder when everything changed. I force a smile, even though I don’t really feel it.",Sad
2025-02-28 17:28:24.223,  I found joy in something simple today.  ,Happy
2025-02-13 14:32:59.000,I feel like I’m trapped inside my own thoughts.,Frustrated
2025-02-28 17:19:24.243," I did something kind today, and it made me feel amazing.  ",Happy
2025-02-28 16:47:10.065,  I feel like sadness is the only thing that stays.   ,Sad
2025-02-28 16:50:46.935,I love the way my favorite food tastes.  ,Happy
2025-02-28 17:54:33.681, I found joy in something simple today.  ,Happy
2025-02-28 17:55:11.993,I love when everything just feels right.,Happy
