Age,gender,How often do you feel stressed?,How often have you felt anxious or worried in the past month?,"How often have you felt down, depressed, or hopeless?",How often do you engage in self-care activities?,How would you rate your sleep quality over the past week?,How often do you exercise?,How balanced do you consider your diet?,How often do you consume alcohol or use recreational substances?,How satisfied are you with your academic performance?,How pressured do you feel by your academic responsibilities?,How often do you procrastinate?,How balanced do you feel between work/study and personal life?,How resilient do you consider yourself in the face of challenges?,How optimistic are you about your future?,How aware are you of your emotions and feelings?,How effective are your coping mechanisms?,How often do you feel lonely?,How would you rate your relationship with your family?,How satisfied are you with your romantic relationship (if applicable)?,How anxious do you feel in social situations?,How confident are you in your communication skills?,Have you ever been diagnosed with a mental health condition?,Have you ever attended therapy or counseling sessions?,How would you rate your physical health over the past month?,Risk Levels
20,0.0,3,3,3,3,4,4,4,5,5.0,4,3,3,3.0,3,2,2.0,5.0,2,5.0,3,3,0.0,0.0,3,2
21,0.0,4,4,4,3,3,3,2,5,5.0,4,5,3,2.0,2,2,3.0,4.0,4,3.0,5,4,0.0,0.0,4,0
21,0.0,4,3,3,3,1,3,4,5,2.0,2,5,3,1.0,2,2,3.0,3.0,2,5.0,1,2,0.0,,3,0
21,1.0,3,2,3,3,1,3,1,5,2.0,3,3,3,2.0,2,3,3.0,3.0,1,3.5357142857142856,3,4,0.0,0.0,3,2
20,1.0,3,2,1,1,2,3,2,5,2.0,2,2,2,2.0,2,1,2.0,2.0,1,3.5357142857142856,1,1,0.0,0.0,2,1
20,1.0,4,5,3,5,2,4,4,5,5.0,5,4,4,3.0,3,1,3.0,4.0,1,3.5357142857142856,4,5,0.0,0.0,3,0
21,1.0,3,4,4,2,5,4,4,5,2.0,1,4,5,3.0,3,3,3.0,2.0,1,3.5357142857142856,4,3,0.0,0.0,3,0
21,1.0,2,2,3,3,4,4,2,5,2.0,4,4,4,2.0,2,2,3.0,3.0,1,3.0,4,2,0.0,0.0,4,1
21,0.0,4,5,4,4,4,3,3,5,1.0,4,3,2,1.0,2,1,2.0,4.0,1,2.0,3,2,0.0,0.0,3,0
21,1.0,4,4,4,1,3,2,1,5,1.0,4,2,2,2.0,2,2,2.0,4.0,4,1.0,3,1,0.0,0.0,1,0
20,1.0,3,3,3,4,1,3,4,5,3.0,3,3,4,3.0,3,3,3.0,4.0,1,3.5357142857142856,3,4,,,2,2
21,1.0,2,4,3,4,3,5,3,1,1.0,3,5,3,5.0,4,5,3.0,5.0,2,1.0,2,5,0.0,0.0,5,2
21,1.0,2,2,1,3,1,3,1,5,5.0,3,2,3,1.0,3,4,5.0,1.0,1,3.5357142857142856,1,3,0.0,0.0,1,1
21,1.0,4,4,3,4,5,3,4,5,2.0,5,4,3,3.0,2,2,2.0,2.0,2,1.0,4,3,0.0,0.0,4,0
21,1.0,3,4,5,1,5,1,3,4,4.0,5,3,2,2.0,2,3,2.0,2.0,2,5.0,4,3,0.0,0.0,1,0
21,0.0,5,2,1,2,2,4,3,5,3.0,4,3,2,1.0,2,1,3.0,2.0,1,3.5357142857142856,4,2,,,1,0
20,0.0,5,4,4,5,2,2,3,5,5.0,3,5,3,3.0,3,4,4.0,2.0,1,5.0,3,3,0.0,0.0,5,0
21,0.0,4,4,5,2,4,4,4,5,4.0,4,3,3,3.0,4,2,4.0,3.0,3,3.5357142857142856,2,3,0.0,0.0,4,0
21,0.0,3,3,2,3,2,4,5,4,4.0,5,5,4,3.0,2,4,4.0,4.0,3,3.0,5,4,0.0,0.0,3,2
20,1.0,4,4,4,4,5,3,1,1,3.0,3,3,5,5.0,5,5,4.0,1.0,3,3.0,3,3,0.0,0.0,3,0
21,1.0,1,1,1,1,3,5,4,5,1.0,3,4,3,3.0,3,3,3.0,3.0,1,5.0,2,3,0.0,0.0,1,1
20,1.0,4,4,5,5,3,5,3,5,3.0,4,3,5,4.0,1,1,4.0,4.0,1,1.0,2,3,0.0,0.0,2,0
69,1.0,2,2,1,1,2,1,1,5,1.0,3,1,1,1.0,1,3,1.0,1.0,1,5.0,1,3,0.0,0.0,1,1
21,0.0,5,5,4,5,5,5,5,5,5.0,2,5,5,5.0,4,5,3.0,3.0,3,5.0,3,2,0.0,0.0,5,0
22,1.0,4,4,3,4,2,1,2,5,3.0,5,4,3,1.0,3,4,1.0,4.0,1,2.0,2,1,0.0,0.0,1,0
21,1.0,3,3,3,3,4,4,1,4,3.0,3,5,3,3.0,1,2,2.0,4.0,2,5.0,3,3,0.0,0.0,3,2
21,0.0,2,2,2,4,2,5,5,5,1.0,4,5,1,5.0,1,1,1.0,3.0,1,5.0,1,1,0.0,0.0,2,1
21,0.0,4,3,3,4,2,5,3,5,3.0,4,4,4,4.0,1,2,2.0,2.0,1,3.5357142857142856,3,1,0.0,0.0,2,0
20,1.0,4,2,5,2,5,4,3,5,5.0,5,4,4,3.0,5,1,2.0,2.0,1,1.0,3,3,0.0,0.0,3,0
21,0.0,5,5,5,5,3,3,4,5,3.0,4,4,4,3.0,3,3,3.0,3.0,3,5.0,3,3,0.0,0.0,2,0
20,1.0,4,3,4,3,1,4,2,5,1.0,2,3,3,3.0,2,2,2.0,2.0,1,1.0,1,2,0.0,0.0,3,0
20,1.0,3,2,2,4,2,2,3,5,1.0,2,4,2,2.0,1,2,2.0,3.0,1,5.0,1,2,0.0,0.0,3,1
21,1.0,3,1,2,3,5,1,3,5,3.0,3,2,3,1.0,3,5,1.0,1.0,3,1.0,2,2,,,5,1
21,3.0,5,5,5,5,5,5,5,1,5.0,5,5,5,5.0,5,1,5.0,5.0,5,5.0,5,5,,,5,0
22,0.0,5,4,1,2,4,5,4,5,3.0,5,5,3,5.0,5,3,4.0,3.0,1,5.0,5,2,0.0,0.0,3,0
20,1.0,2,2,2,3,3,5,3,5,2.0,2,4,3,3.0,2,2,3.0,3.0,2,3.5357142857142856,1,3,0.0,0.0,2,1
20,1.0,4,4,3,4,5,4,4,5,1.0,3,3,3,3.0,1,2,3.0,4.0,3,3.5357142857142856,4,3,0.0,0.0,3,0
20,1.0,5,5,4,2,1,4,4,5,3.0,3,4,3,3.0,4,3,4.0,3.0,2,3.5357142857142856,2,3,0.0,0.0,2,0
20,1.0,4,4,3,5,4,5,5,5,2.0,3,5,5,2.0,3,1,3.0,2.0,2,3.5357142857142856,4,2,0.0,0.0,4,0
